model,dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
volcengine/doubao-seed-2.0-pro,full_explicit,14,440.2728698846299,617458,38041,5101320,0,5756819,22.571435714285712,0.9523809285714285,1.0,0.9761905000000001,1.0,1.0,0.9285714285714286,1.0769230769230769
volcengine/doubao-seed-2.0-pro,goal_miss,14,532.3970329882724,611769,38690,6310936,0,6961395,25.976192857142856,0.9285714285714286,0.9047619285714286,0.9166666428571428,0.9642857142857143,0.8571428571428571,0.8571428571428571,1.0
volcengine/doubao-seed-2.0-pro,goal_ambiguity,14,537.35322204561,711977,41087,6273136,0,7026200,25.952385714285715,0.9285714285714286,0.9285714285714286,0.9285714285714286,1.0,0.8571428571428571,0.8571428571428571,1.0
volcengine/doubao-seed-2.0-pro,action_miss,14,637.6328227313421,891710,50951,7394752,0,8337413,29.59525,0.42857142857142855,0.8571428571428571,0.6392857857142857,0.798404761904762,0.6428571428571429,0.14285714285714285,4.500000000000001
volcengine/doubao-seed-2.0-pro,action_ambiguity,14,739.7769691962252,1094093,53977,8524936,0,9673006,33.04762857142857,0.5238094999999999,0.7857142857142857,0.6511905,0.8428571428571429,0.6428571428571429,0.2857142857142857,2.2500000000000004
volcengine/doubao-seed-2.0-pro,tool_miss,14,574.3701916491043,881019,42783,6586416,0,7510218,26.690464285714285,0.7619047142857143,0.8809523571428571,0.8178572142857143,0.8178571428571428,0.8571428571428571,0.7142857142857143,1.2
volcengine/doubao-seed-2.0-pro,tool_ambiguity,14,492.9218915048159,650259,35944,5759032,0,6445235,24.476192857142856,0.8333333571428572,1.0,0.9166666428571428,0.9523809523809524,0.8571428571428571,0.7857142857142857,1.0909090909090908
z-ai/glm-5-turbo,full_explicit,14,491.62070373103273,112472,33504,5723728,0,5869704,24.071435714285712,0.9761905000000001,1.0,0.9880952142857142,0.9761904761904762,1.0,0.9285714285714286,1.0769230769230769
z-ai/glm-5-turbo,goal_miss,14,511.83880811184116,125376,34438,5951284,0,6111098,25.357142857142858,0.9761905000000001,0.9047619285714286,0.9404762142857143,0.9857142857142858,0.9285714285714286,0.8571428571428571,1.0833333333333335
z-ai/glm-5-turbo,goal_ambiguity,14,544.4875029865213,135083,35121,6330703,0,6500907,26.666664285714287,0.9761905000000001,0.9047619285714286,0.9333332857142856,0.9761904761904762,0.9285714285714286,0.7857142857142857,1.1818181818181819
z-ai/glm-5-turbo,action_miss,14,530.4618704459206,132332,34774,6166342,0,6333448,27.2381,0.42857142857142855,0.7380951428571428,0.5797619285714285,0.753547619047619,0.42857142857142855,0.14285714285714285,3.0
z-ai/glm-5-turbo,action_ambiguity,14,652.8117466113077,159860,41319,7593065,0,7794244,31.857149999999997,0.6428572142857142,0.8809524285714286,0.7583332857142857,0.880952380952381,0.7142857142857143,0.42857142857142855,1.6666666666666667
z-ai/glm-5-turbo,tool_miss,14,752.6945962158443,190163,43423,8753209,0,8986795,33.80952857142857,0.8333334285714286,0.9047619285714286,0.8619047142857142,0.8857142857142858,0.9285714285714286,0.6428571428571429,1.4444444444444444
z-ai/glm-5-turbo,tool_ambiguity,14,526.8887718975321,146241,34992,6109554,0,6290787,26.428564285714288,0.9761905000000001,0.9285714285714286,0.9523809285714285,0.9761904761904762,0.9285714285714286,0.8571428571428571,1.0833333333333335
