model,category,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
bailian/qwen3.6-plus,01_information_intelligence_agent,14,60.534190476190474,3671080,52692,0,0,3723772,16.523807142857144,0.7857142857142857,0.9285714285714286,0.85,0.9464285714285714,0.8571428571428571,0.7142857142857143,1.2
bailian/qwen3.6-plus,02_content_creation_pipeline_agent,21,105.19298412698411,14479971,214763,0,0,14694734,33.38095238095238,0.9365079523809524,0.9365079523809524,0.9365079047619047,0.9936507936507937,1.0,0.8095238095238095,1.2352941176470589
bailian/qwen3.6-plus,03_platform_automation_agent,21,81.74498412698412,9088273,145273,0,0,9233546,30.904766666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bailian/qwen3.6-plus,04_personal_ai_second_brain_agent,21,59.95401587301587,6007946,83335,0,0,6091281,18.22222857142857,0.7142857142857143,0.7301587142857142,0.7222222380952381,0.9238095238095239,0.5714285714285714,0.5238095238095238,1.0909090909090908
bailian/qwen3.6-plus,05_self_healing_devops_agent,21,90.2368888888889,10916303,136703,0,0,11053006,26.20634761904762,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9714285714285713,0.9523809523809523,0.8571428571428571,1.1111111111111112
deepseek/deepseek-v3.2,01_information_intelligence_agent,14,0.0,494245,47019,5498368,0,6039632,23.95237857142857,0.7619047142857143,0.8571428571428571,0.8047618571428572,0.9404761904761905,0.8571428571428571,0.7142857142857143,1.2
deepseek/deepseek-v3.2,02_content_creation_pipeline_agent,21,0.0,7247954,164335,14454400,0,21866689,45.698414285714286,0.7301588095238095,0.9047618571428571,0.817460238095238,0.8404761904761904,0.9047619047619048,0.42857142857142855,2.111111111111111
deepseek/deepseek-v3.2,03_platform_automation_agent,21,0.0,976926,97935,15664768,0,16739629,40.92062857142857,0.8412698571428572,0.9523809523809523,0.896825380952381,0.9597619047619048,0.9523809523809523,0.6190476190476191,1.5384615384615383
deepseek/deepseek-v3.2,04_personal_ai_second_brain_agent,21,0.0,161393,13357,1061824,0,1236574,6.841271428571428,0.07936509523809523,0.9523809523809523,0.515873,0.5809523809523809,0.14285714285714285,0.0,
deepseek/deepseek-v3.2,05_self_healing_devops_agent,21,0.0,0,0,0,0,0,6.0,0.0,0.8095238095238095,0.40476190476190477,0.3333333333333334,0.0,0.0,
google/gemini-3.1-pro-preview,01_information_intelligence_agent,14,54.40788095238095,873819,143456,1744281,0,2761556,18.04762142857143,0.8571428571428571,0.9761905000000001,0.9178571428571428,0.9642857142857143,0.8571428571428571,0.7857142857142857,1.0909090909090908
google/gemini-3.1-pro-preview,02_content_creation_pipeline_agent,21,74.94876190476191,2400934,215944,6833670,0,9450548,33.793642857142856,0.9682539523809524,0.9682540000000001,0.9682539523809524,0.9936507936507937,1.0,0.8571428571428571,1.1666666666666667
google/gemini-3.1-pro-preview,03_platform_automation_agent,21,73.071,2337234,172581,5699002,0,8208817,33.58729523809524,0.9365079523809524,1.0,0.9682539523809524,0.9888730158730158,0.9523809523809523,0.9047619047619048,1.0526315789473684
google/gemini-3.1-pro-preview,04_personal_ai_second_brain_agent,21,56.479841269841266,1286467,206481,3356303,0,4849251,19.222223809523808,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.9142857142857143,0.5714285714285714,0.5714285714285714,1.0
google/gemini-3.1-pro-preview,05_self_healing_devops_agent,21,75.33719047619047,2555014,178584,6379805,0,9113403,29.82539523809524,1.0,0.984127,0.9920634761904762,1.0,1.0,0.9523809523809523,1.05
minimax/minimax-m2.7,01_information_intelligence_agent,14,58.613619047619046,576180,40867,2229904,0,2846951,15.642864285714285,0.7142857142857143,0.8571428571428571,0.7785714285714286,0.9285714285714286,0.7142857142857143,0.7142857142857143,1.0
minimax/minimax-m2.7,02_content_creation_pipeline_agent,21,132.12531746031746,1182451,184327,11319210,0,12685988,33.38094761904762,0.8253968571428572,0.9206349523809524,0.8730158571428571,0.9420634920634919,0.9047619047619048,0.6666666666666666,1.3571428571428572
minimax/minimax-m2.7,03_platform_automation_agent,21,97.42314285714285,942135,100901,7872445,0,8915481,32.17460476190476,0.8571429047619048,0.984127,0.9206348571428571,0.9645238095238095,0.9047619047619048,0.7142857142857143,1.2666666666666666
minimax/minimax-m2.7,04_personal_ai_second_brain_agent,21,68.30046031746032,938696,69487,4763245,0,5771428,17.984123809523812,0.6984127142857143,0.746031761904762,0.7222222380952381,0.9142857142857143,0.5714285714285714,0.5238095238095238,1.0909090909090908
minimax/minimax-m2.7,05_self_healing_devops_agent,21,104.26893650793652,1037841,123398,8122125,0,9283364,27.841266666666666,0.9682540000000001,0.8571428571428571,0.9126984285714286,0.980952380952381,0.8571428571428571,0.8095238095238095,1.0588235294117647
moonshotai/kimi-k2.5,01_information_intelligence_agent,14,58.966,2263750,24129,89344,0,2377223,15.547621428571428,0.7142857142857143,0.8571428571428571,0.7785714285714286,0.9285714285714286,0.7142857142857143,0.7142857142857143,1.0
moonshotai/kimi-k2.5,02_content_creation_pipeline_agent,21,148.7549841269841,6017527,48496,1071616,0,7137639,24.238109523809523,0.39682538095238096,0.8730159523809524,0.6349207142857143,0.5492063492063493,0.6666666666666666,0.09523809523809523,7.0
moonshotai/kimi-k2.5,03_platform_automation_agent,21,103.68401587301588,4141993,45994,308480,0,4496467,22.888895238095238,0.6349207619047619,1.0,0.8174601904761906,0.8206190476190477,0.8095238095238095,0.3333333333333333,2.428571428571429
moonshotai/kimi-k2.5,04_personal_ai_second_brain_agent,21,67.78530158730159,4247968,42499,433664,0,4724131,18.23809047619048,0.6666666666666666,0.7936508095238095,0.7301587142857142,0.9015873015873016,0.5238095238095238,0.5238095238095238,1.0
moonshotai/kimi-k2.5,05_self_healing_devops_agent,21,88.63357142857143,6973276,56852,1254016,0,8284144,26.095242857142857,0.9523809523809523,0.9047619047619048,0.9285714285714286,0.9714285714285713,0.9523809523809523,0.7619047619047619,1.25
