model,dimension,n_cases,latency_s,tokens_in,tokens_out,cache_read,cache_write,tokens_total,mean_steps,task,safe,score,progress,pass_at_k,pass_all_k,pass_at_k_over_pass_all_k
moonshotai/kimi-k2.5,action_miss,14,,98536,35972,926976,0,990559,21.37142857142857,0.34285714285714286,0.7714285714285715,0.5214285714285715,0.7328714285714285,0.42857142857142855,0.07142857142857142,6.0
moonshotai/kimi-k2.5,action_ambiguity,14,,107211,38879,1001728,0,1052945,26.285714285714285,0.4571428571428572,0.7857142857142857,0.5857142857142856,0.8066714285714286,0.5714285714285714,0.21428571428571427,2.6666666666666665
moonshotai/kimi-k2.5,tool_miss,14,,103273,36977,958976,0,1010348,22.342857142857145,0.8142857142857143,0.8857142857142858,0.7785714285714286,0.8692857142857143,0.7142857142857143,0.6428571428571429,1.1111111111111112
moonshotai/kimi-k2.5,tool_ambiguity,14,,119978,35416,994304,0,1039133,23.928571428571427,1.0,0.9428571428571428,0.9,1.0,0.9285714285714286,0.8571428571428571,1.0833333333333335
openai/gpt-5.1,full_explicit,14,,342274,34305,827392,0,862742,22.085714285714285,0.9571428571428572,1.0,0.9071428571428571,0.9714285714285714,0.9285714285714286,0.8571428571428571,1.0833333333333335
openai/gpt-5.1,goal_miss,14,,429654,44225,734464,0,842996,25.2,0.4857142857142857,0.8428571428571429,0.5785714285714285,0.6990571428571428,0.6428571428571429,0.07142857142857142,9.000000000000002
openai/gpt-5.1,goal_ambiguity,14,,433471,34455,700672,0,819325,21.37142857142857,0.4714285714285714,0.9285714285714286,0.6214285714285713,0.6383428571428571,0.7142857142857143,0.07142857142857142,10.0
openai/gpt-5.1,action_miss,14,,457652,41355,716416,0,860715,22.985714285714288,0.15714285714285717,0.8142857142857143,0.43571428571428567,0.5305,0.35714285714285715,0.0,
openai/gpt-5.1,action_ambiguity,14,,478938,48537,744832,0,868176,24.62857142857143,0.09999999999999999,0.7714285714285715,0.38571428571428573,0.5107285714285714,0.21428571428571427,0.0,
openai/gpt-5.1,tool_miss,14,,427764,34983,673920,0,826895,18.957142857142856,0.39999999999999997,0.8857142857142858,0.5857142857142856,0.6026285714285714,0.5714285714285714,0.07142857142857142,8.0
openai/gpt-5.1,tool_ambiguity,14,,441313,30021,744192,0,837361,23.62857142857143,0.5571428571428572,0.9428571428571428,0.6714285714285715,0.7142857142857143,0.7142857142857143,0.14285714285714285,5.0
openai/gpt-5.4,full_explicit,14,,687302,28764,819456,0,968565,25.685714285714287,1.0,0.9857142857142858,0.9214285714285715,1.0,0.9285714285714286,0.8571428571428571,1.0833333333333335
openai/gpt-5.4,goal_miss,14,,589745,24521,845824,0,979836,26.7,0.9714285714285714,0.9285714285714286,0.8785714285714287,0.9771428571428571,0.8571428571428571,0.7142857142857143,1.2
openai/gpt-5.4,goal_ambiguity,14,,587219,26555,812544,0,973066,26.685714285714283,0.9571428571428572,0.9142857142857144,0.8642857142857142,0.9735714285714286,0.8571428571428571,0.6428571428571429,1.3333333333333333
openai/gpt-5.4,action_miss,14,,545365,26556,765696,0,938833,24.185714285714287,0.21428571428571427,0.7571428571428571,0.45,0.6697428571428572,0.2857142857142857,0.07142857142857142,4.0
openai/gpt-5.4,action_ambiguity,14,,621544,30827,864640,0,1006945,29.599999999999998,0.37142857142857144,0.7714285714285715,0.5357142857142857,0.7704714285714286,0.42857142857142855,0.0,
openai/gpt-5.4,tool_miss,14,,593295,25532,802688,0,970448,25.314285714285717,0.8571428571428571,0.9142857142857144,0.8142857142857143,0.9092857142857144,0.7857142857142857,0.5714285714285714,1.375
openai/gpt-5.4,tool_ambiguity,14,,625797,26307,850560,0,1018523,28.042857142857144,0.9285714285714286,0.9428571428571428,0.8642857142857142,0.9542857142857143,0.8571428571428571,0.7142857142857143,1.2
openai/gpt-5.4-mini,full_explicit,14,,495716,18900,818944,0,877117,20.12857142857143,0.9285714285714286,1.0,0.8928571428571429,0.9557142857142856,0.9285714285714286,0.7857142857142857,1.1818181818181819
openai/gpt-5.4-mini,goal_miss,14,,447698,15471,760576,0,848280,20.3,0.7000000000000001,0.9142857142857144,0.7357142857142858,0.8085714285714286,0.8571428571428571,0.2857142857142857,3.0
openai/gpt-5.4-mini,goal_ambiguity,14,,437232,17323,783104,0,863514,22.142857142857142,0.7999999999999999,0.9,0.7714285714285715,0.8635714285714285,0.8571428571428571,0.35714285714285715,2.4
openai/gpt-5.4-mini,action_miss,14,,423262,15806,774400,0,873715,20.785714285714285,0.2285714285714286,0.8428571428571429,0.4928571428571429,0.6300142857142857,0.35714285714285715,0.0,
openai/gpt-5.4-mini,action_ambiguity,14,,471358,18452,788096,0,912089,22.74285714285714,0.32857142857142857,0.8285714285714285,0.5428571428571428,0.7023857142857143,0.42857142857142855,0.0,
openai/gpt-5.4-mini,tool_miss,14,,430667,16728,796928,0,871951,20.599999999999998,0.6571428571428571,0.9,0.7071428571428572,0.7578571428571428,0.6428571428571429,0.42857142857142855,1.5000000000000002
openai/gpt-5.4-mini,tool_ambiguity,14,,470361,15477,780416,0,873020,21.642857142857142,0.7571428571428571,0.9142857142857144,0.7642857142857142,0.8335714285714285,0.7142857142857143,0.5,1.4285714285714286
